bench_name,CUDA,DPCT_CPU,DPCT_GPU
correlation,0.161079,3.013989,2.116914
covariance,0.117230,3.038264,2.113345
2mm,0.077893,0.188716,0.006117
3mm,0.117503,0.132587,0.001524
atax,0.080104,0.085840,0.003419
bicg,0.079387,0.156867,0.002739
doitgen,10.098797,0.116568,0.005412
gemm,0.039584,0.080459,0.000606
gemver,0.119018,0.117940,0.002947
gesummv,0.039076,0.135311,0.002170
mvt,0.058086,0.145376,0.003421
syr2k,0.039066,0.201618,0.021887
syrk,0.038801,0.165751,0.011559
gramschmidt,241.870325,10.783927,2.692170
lu,160.734833,0.547776,0.052511
adi,80.497658,0.377151,0.019883
convolution-2d,0.039528,0.107253,0.000398
convolution-3d,4.981589,0.226127,0.001304
fdtd-2d,58.643862,1.243503,0.122632
jacobi-1d-imper,788.181214,1.318179,0.145403
jacobi-2d-imper,1.557758,0.107874,0.000949
