bench_name,SYCL_CPU,SYCL_GPU
2DConvolution,0.006213,0.000308
2mm,0.028249,0.007698
3DConvolution,0.006720,0.000425
3mm,0.005179,0.001569
atax,0.005672,0.006107
bicg,0.005916,0.004184
convolution-2d,0.009818,0.000306
convolution-3d,0.006263,0.000423
correlation,0.220465,3.167613
covariance,0.175108,3.100778
fdtd-2d,3.099565,0.216103
fdtd2d,3.293205,0.216103
gemm,0.001879,0.000653
gesummv,0.005267,0.004470
gramschmidt,6.801204,3.020740
mvt,0.003793,0.003723
syr2k,0.065771,0.037692
syrk,0.023446,0.013896
